,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe
2021-06-25 00:00:00,341454.35162707034,309258.45063368743,1606063.5257872152,820622.463815011,0.014273633726668573,1.4796513902529191,9.261129967831785,0.003119603235750007,-0.8788000645691213,2.5515896159449336,0.03523902746684822,1.7293583230093863,1.9177108431570002,-12.398603984365824,-2.36811757838153,-2.0235894722468704,10.987642881749068,-2.5108910723384987,0.004607510167179085,1.677000252723766,-6.051710875208974,5.017760969248149
2021-06-25 01:00:00,332929.12834489683,301973.5285335987,1645619.0401615119,811583.2559545924,0.9936272402180581,1.4116887179984094,10.78968710191208,-1.6603072860086148,-0.25264417039843934,2.1392100027911733,-0.22811649949434795,3.5142539836686573,3.81019652901497,-9.227320874712051,-1.400634658727997,-2.0642427688165967,10.402875998095745,-1.567538099362945,1.25732546988691,-1.1523218445400458,-7.2754487756147945,7.368202304889092
2021-06-25 02:00:00,331369.78208422876,294395.90269820794,1680964.2329735046,809336.1894995978,0.9461543178461362,1.342262750197073,11.28766552584511,-1.354435300903328,0.5317142728358278,1.450428118736026,-1.2268030439009694,4.909332736762395,3.987792524638531,-8.55069413030114,-0.10143275362593057,-2.335556204878125,9.121738627368694,-0.8613166744076038,1.655270041581451,-1.8852781724215832,-6.482682374714551,6.871451415578439
2021-06-25 03:00:00,332198.81251879013,285157.5238584762,1711295.5582785665,805381.7758988576,0.9900207184299786,1.20993531097767,11.88606268954193,-1.3131224022689996,1.2165100062366627,0.8167485804758474,-1.1372303035315827,6.125332939045812,4.467166385172673,-8.055811344588003,1.11325539434648,-2.5922125537476517,9.130902157666407,-1.4242930609304232,2.096701417517466,-2.6079509467739186,-5.932018847470169,5.6495590918346945
2021-06-25 04:00:00,339385.2209235234,275731.97231122485,1746706.7285087027,799081.2794608987,1.2521763255385256,1.1337751808210481,12.347328669957045,-1.2971851689094265,2.079490337643923,0.29115271275514565,0.2774449603681763,6.962870574352367,4.728453895431567,-7.578041801137557,2.2876212806398124,-2.8415238881273965,10.758765820488074,-2.1791392543627848,2.594082449355463,-3.1181841353756736,-5.563636950613017,4.50250401015132
2021-06-25 05:00:00,348669.6857393968,264698.55186395894,1788758.6721860806,789691.9732674456,1.183154135987102,1.0463644722157532,12.588143441883355,-1.2854006876916433,2.787886523672081,-0.046362333084601484,1.6545347621853845,7.487822295463212,3.650964432482173,-7.165850391892709,2.2963898242848115,-2.943907592429916,10.837360841062715,-3.267495040753905,1.7380219088155853,-4.588471498993128,-5.229310419252711,3.1182267933578816
2021-06-25 06:00:00,355919.22765837406,254535.83764572945,1824735.7265643543,775555.3151674706,0.8855884930461149,0.9748555875016817,12.774500349208795,-1.1797913503333821,3.3181169961635635,-0.1983472473073733,2.592786112512607,7.92590411319148,2.4153218768542284,-6.858951187392006,2.0503815837936012,-2.9040069630293512,8.418153812725375,-4.041683726921555,0.5927086681778344,-7.834721142042142,-4.860306653557043,1.9867038594291415
2021-06-25 07:00:00,363432.4331427107,243789.70173014762,1849369.3796377033,760591.8504336104,0.8444470368092781,0.9329704998556293,12.764701557413536,-1.236640110677654,4.239195254727998,-0.1661860496021328,4.372172803708161,8.240137071834223,1.8926311833762972,-6.842041308674135,2.4141504908139337,-3.0591608411945144,7.900159213668311,-4.276583548852618,-0.04762722724915758,-10.081162184262665,-5.062585402125665,1.4846210474043495
2021-06-25 08:00:00,373301.1111922344,232509.87958912895,1881616.872902766,744763.9136157318,0.9463535817463025,0.8519781973135966,12.858169321093845,-1.1257672029220516,5.047912401357222,0.008847548510375487,6.0432737847162725,8.231152098489725,2.192643705248854,-6.7531891483451405,3.4568180506599147,-3.25033344591418,7.109715447199867,-4.396535692948835,0.20723742836259085,-12.738081240356554,-5.236926394660204,1.3562487325773365
2021-06-25 09:00:00,388321.5231074621,220387.30091956552,1900559.3308575423,728936.7934443788,1.2875724282095256,0.7607334114767781,12.690190909826303,-1.0042095725494915,5.909621888638326,0.25492008654552867,8.317301785998055,8.001370911494853,2.909212176442915,-6.916824102858747,4.812037896823021,-3.464228200137829,5.037469416124546,-4.936370779990005,0.9507218478709989,-17.25759570790934,-5.4840912707096265,0.7566587908909366
